driver_id,round,position,grid_position,points,status,laps_completed
antonelli,23,5.0,5.0,10.0,Finished,57.0
russell,23,6.0,4.0,8.0,Finished,57.0
alonso,23,7.0,8.0,6.0,Finished,57.0
leclerc,23,8.0,10.0,4.0,Finished,57.0
lawson,23,9.0,12.0,2.0,Finished,57.0
tsunoda,23,10.0,15.0,1.0,Finished,57.0
albon,23,11.0,14.0,0.0,Finished,57.0
hamilton,23,12.0,17.0,0.0,Finished,57.0
bortoleto,23,13.0,19.0,0.0,Finished,57.0
colapinto,23,14.0,20.0,0.0,Lapped,56.0
ocon,23,15.0,16.0,0.0,Lapped,56.0
gasly,23,16.0,9.0,0.0,Lapped,56.0
stroll,23,17.0,18.0,0.0,Retired,55.0
hadjar,23,18.0,6.0,0.0,Retired,55.0
bearman,23,19.0,13.0,0.0,Retired,41.0
hulkenberg,23,20.0,11.0,0.0,Retired,6.0
max_verstappen,24,1.0,1.0,25.0,Finished,58.0
piastri,24,2.0,3.0,18.0,Finished,58.0
norris,24,3.0,2.0,15.0,Finished,58.0
leclerc,24,4.0,5.0,12.0,Finished,58.0
russell,24,5.0,4.0,10.0,Finished,58.0
alonso,24,6.0,6.0,8.0,Finished,58.0
ocon,24,7.0,8.0,6.0,Finished,58.0
hamilton,24,8.0,16.0,4.0,Finished,58.0
hulkenberg,24,9.0,18.0,2.0,Finished,58.0
stroll,24,10.0,15.0,1.0,Finished,58.0
bortoleto,24,11.0,7.0,0.0,Finished,58.0
bearman,24,12.0,11.0,0.0,Finished,58.0
sainz,24,13.0,12.0,0.0,Finished,58.0
tsunoda,24,14.0,10.0,0.0,Finished,58.0
antonelli,24,15.0,14.0,0.0,Finished,58.0
albon,24,16.0,17.0,0.0,Finished,58.0
hadjar,24,17.0,9.0,0.0,Lapped,57.0
lawson,24,18.0,13.0,0.0,Lapped,57.0
gasly,24,19.0,19.0,0.0,Lapped,57.0
colapinto,24,20.0,20.0,0.0,Lapped,57.0
